Location,Stake,Ward,AdultVolunteer,YouthVolunteer,Bags,RouteTime,MultiRoute,CompletedRoutes,RouteDoors,OverallTime,Neighbourhood,ID,Latitude,Longitude
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,36,60,Yes,2,140,73,Crawford Plains,142,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,3,1,18,25,Yes,2,144,30,Crawford Plains,150,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,8,30,No,1,144,30,Crawford Plains,151,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,0,14,24,Yes,2,146,24,Crawford Plains,154,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,26,45,No,1,150,40,Crawford Plains,166,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,25,30,No,1,150,10,Crawford Plains,172,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,6,15,No,1,168,15,Crawford Plains,210,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,20,60,Yes,2,194,60,Crawford Plains,255,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,1,23,32,Yes,1,195,32,Crawford Plains,257,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,3,32,52,Yes,1,200,52,Crawford Plains,274,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,2,32,60,Yes,2,215,60,Crawford Plains,311,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,15,55,Yes,2,236,55,Crawford Plains,337,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,3,2,30,40,Yes,2,256,40,Crawford Plains,359,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,2,11,30,Yes,2,261,33,Crawford Plains,367,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,27,40,Yes,2,267,40,Crawford Plains,374,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,21,50,Yes,2,317,50,Crawford Plains,425,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,2,37,140,Yes,3,321,140,Crawford Plains,427,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,2,52,125,Yes,3,324,105,Crawford Plains,428,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,40,90,Yes,3,380,90,Crawford Plains,442,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,50,90,Yes,3,460,90,Crawford Plains,458,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,16,15,Yes,4,520,54,Crawford Plains,467,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,2,124,165,Yes,6,759,165,Crawford Plains,475,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,120,70,Yes,6,900,77,Crawford Plains,476,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,20,25,Yes,1,180,30,Crawford Plains,479,53.44341912,-113.4026104
